# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: Xiaomi Model: 22101316I
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Fix,FLP,26.5124100000,80.2341294000,63.0,7.849567,7.397,246.45274,1717085134293,3.1,179.9,111755976000000,100.1,0,,,
Status,,62,0,1,31,1575420030,22.80,281.0,81.0,1,0,0,22.8
Status,,62,1,1,28,1575420030,13.70,28.0,58.0,1,0,0,13.7
Status,,62,2,2,126,1575420030,0.00,214.0,55.0,0,0,0,0.0
Status,,62,3,1,26,1575420030,17.40,154.0,39.0,1,0,0,17.4
Status,,62,4,1,21,1575420030,0.00,256.0,35.0,0,0,0,0.0
Status,,62,5,1,10,1575420030,20.30,130.0,33.0,1,0,0,20.3
Status,,62,6,1,32,1575420030,16.80,59.0,33.0,1,0,0,16.8
Status,,62,7,1,2,1575420030,0.00,275.0,32.0,0,0,0,0.0
Status,,62,8,1,3,1575420030,0.00,321.0,18.0,0,0,0,0.0
Status,,62,9,1,25,1575420030,0.00,47.0,12.0,0,0,0,0.0
Status,,62,10,1,16,1575420030,0.00,181.0,10.0,0,0,0,0.0
Status,,62,11,1,4,1575420030,0.00,280.0,7.0,0,0,0,0.0
Status,,62,12,3,15,1602000000,0.00,133.0,65.0,0,0,0,0.0
Status,,62,13,3,4,1602000000,19.40,56.0,40.0,1,0,0,19.4
Status,,62,14,3,5,1602000000,0.00,347.0,38.0,0,0,0,0.0
Status,,62,15,3,14,1602000000,0.00,42.0,38.0,0,0,0,0.0
Status,,62,16,3,20,1602000000,0.00,269.0,24.0,0,0,0,0.0
Status,,62,17,3,16,1602000000,0.00,188.0,22.0,0,0,0,0.0
Status,,62,18,3,3,1602000000,0.00,98.0,9.0,0,0,0,0.0
Status,,62,19,3,19,1602000000,0.00,209.0,8.0,0,0,0,0.0
Status,,62,20,3,21,1602000000,0.00,321.0,7.0,0,0,0,0.0
Status,,62,21,6,33,1575420030,0.00,241.0,44.0,0,0,0,0.0
Status,,62,22,6,19,1575420030,0.00,306.0,39.0,0,0,0,0.0
Status,,62,23,6,27,1575420030,0.00,92.0,38.0,0,0,0,0.0
Status,,62,24,6,21,1575420030,0.00,158.0,30.0,0,0,0,0.0
Status,,62,25,6,12,1575420030,0.00,305.0,24.0,0,0,0,0.0
Status,,62,26,6,26,1575420030,0.00,187.0,22.0,0,0,0,0.0
Status,,62,27,6,7,1575420030,0.00,69.0,19.0,0,0,0,0.0
Status,,62,28,6,30,1575420030,0.00,45.0,10.0,0,0,0,0.0
Status,,62,29,6,10,1575420030,0.00,322.0,8.0,0,0,0,0.0
Status,,62,30,6,18,1575420030,0.00,174.0,1.0,0,0,0,0.0
Status,,62,31,5,9,1561097980,0.00,358.0,74.0,0,0,0,0.0
Status,,62,32,5,6,1561097980,0.00,22.0,62.0,0,0,0,0.0
Status,,62,33,5,41,1561097980,0.00,29.0,62.0,0,0,0,0.0
Status,,62,34,5,2,1561097980,0.00,171.0,61.0,0,0,0,0.0
Status,,62,35,5,23,1561097980,0.00,181.0,60.0,0,0,0,0.0
Status,,62,36,5,60,1561097980,0.00,180.0,59.0,0,0,0,0.0
Status,,62,37,5,16,1561097980,0.00,26.0,56.0,0,0,0,0.0
Status,,62,38,5,25,1561097980,0.00,59.0,55.0,0,0,0,0.0
Status,,62,39,5,13,1561097980,0.00,148.0,54.0,0,0,0,0.0
Status,,62,40,5,5,1561097980,0.00,223.0,52.0,0,0,0,0.0
Status,,62,41,5,39,1561097980,0.00,29.0,50.0,0,0,0,0.0
Status,,62,42,5,3,1561097980,0.00,127.0,45.0,0,0,0,0.0
Status,,62,43,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,62,44,5,8,1561097980,0.00,146.0,42.0,0,0,0,0.0
Status,,62,45,5,33,1561097980,0.00,97.0,31.0,0,0,0,0.0
Status,,62,46,5,38,1561097980,0.00,146.0,31.0,0,0,0,0.0
Status,,62,47,5,32,1561097980,0.00,318.0,28.0,0,0,0,0.0
Status,,62,48,5,59,1561097980,0.00,104.0,19.0,0,0,0,0.0
Status,,62,49,5,1,1561097980,0.00,103.0,14.0,0,0,0,0.0
Status,,62,50,5,7,1561097980,0.00,146.0,13.0,0,0,0,0.0
Status,,62,51,5,27,1561097980,0.00,240.0,13.0,0,0,0,0.0
Status,,62,52,5,10,1561097980,0.00,160.0,12.0,0,0,0,0.0
Status,,62,53,5,37,1561097980,0.00,207.0,12.0,0,0,0,0.0
Status,,62,54,5,14,1561097980,0.00,109.0,9.0,0,0,0,0.0
Status,,62,55,5,24,1561097980,0.00,38.0,6.0,0,0,0,0.0
Status,,62,56,5,28,1561097980,0.00,197.0,5.0,0,0,0,0.0
Status,,62,57,5,30,1561097980,0.00,286.0,4.0,0,0,0,0.0
Status,,62,58,5,40,1561097980,0.00,137.0,4.0,0,0,0,0.0
Status,,62,59,4,199,1575420030,0.00,50.0,44.0,0,0,0,0.0
Status,,62,60,4,196,1575420030,0.00,102.0,33.0,0,0,0,0.0
Status,,62,61,4,194,1575420030,0.00,92.0,26.0,0,0,0,0.0
Fix,GPS,26.5124016667,80.2340750000,63.0,0.0,6.6,0.0,1717085135835,2.8,179.9,111756976000000,100.1,0,,,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,31,0.0,47,403553768479955,396,22.8439998626709,-542.2930178136047,0.14999,16,0.0,0.0,1575420030,,,,0,1.8935426315152892,1,6.0,22.8439998626709,0.0,0.0,0.0,66.7128,C,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,10,0.0,47,403553760702291,487,20.26099967956543,-34.09834041138943,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,20.26099967956543,0.0,0.0,0.0,66.7128,C,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,26,0.0,47,403553762340632,797,17.413000106811523,-1045.839159006626,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.413000106811523,0.0,0.0,0.0,66.7128,C,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,4,0.0,17,540248,487,20.0,-464.09479290152404,0.14999,16,0.0,0.0,1605374980,,,,0,0.0,3,6.0,20.0,0.0,0.0,24.228518885363965,66.7128,C,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,28,0.0,47,403553765179152,1797,13.699999809265137,-161.00561357220647,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.699999809265137,0.0,0.0,0.0,66.7128,C,
Raw,1717085135835,53422000000,18,33353073.878863223,-1401120300413000192,0.0,346.44791675906566,-1752.9771005279197,0.0,0,32,0.0,47,403553759168691,797,16.76799964904785,-275.333109083615,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.76799964904785,0.0,0.0,0.0,66.7128,C,
Fix,NLP,26.5115082000,80.2340482000,,,1100.0,,1717085134591,,,111756274000000,,0,,,
Fix,FLP,26.5123998000,80.2340733000,63.0,6.559495,7.066,252.5267,1717085135293,2.8,179.9,111756976000000,100.1,0,,,
Status,1717085135835,62,0,1,31,1575420030,22.90,281.0,81.0,1,0,0,22.9
Status,1717085135835,62,1,1,28,1575420030,0.00,28.0,58.0,0,0,0,0.0
Status,1717085135835,62,2,2,126,1575420030,0.00,214.0,55.0,0,0,0,0.0
Status,1717085135835,62,3,1,26,1575420030,17.40,154.0,39.0,1,0,0,17.4
Status,1717085135835,62,4,1,21,1575420030,0.00,256.0,35.0,0,0,0,0.0
Status,1717085135835,62,5,1,10,1575420030,20.30,130.0,33.0,1,0,0,20.3
Status,1717085135835,62,6,1,32,1575420030,13.60,59.0,33.0,1,0,0,13.6
Status,1717085135835,62,7,1,2,1575420030,0.00,275.0,32.0,0,0,0,0.0
Status,1717085135835,62,8,1,3,1575420030,0.00,321.0,18.0,0,0,0,0.0
Status,1717085135835,62,9,1,25,1575420030,0.00,47.0,12.0,0,0,0,0.0
