# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 14 Manufacturer: Xiaomi Model: 22101316I
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
Status,,50,32,5,37,1561097980,0.00,131.0,37.0,0,0,0,0.0
Status,,50,33,5,36,1561097980,0.00,320.0,30.0,0,0,0,0.0
Status,,50,34,5,38,1561097980,0.00,125.0,30.0,0,0,0,0.0
Status,,50,35,5,6,1561097980,0.00,165.0,25.0,0,0,0,0.0
Status,,50,36,5,8,1561097980,0.00,138.0,24.0,0,0,0,0.0
Status,,50,37,5,16,1561097980,0.00,165.0,23.0,0,0,0,0.0
Status,,50,38,5,13,1561097980,0.00,149.0,22.0,0,0,0,0.0
Status,,50,39,5,59,1561097980,0.00,106.0,18.0,0,0,0,0.0
Status,,50,40,5,28,1561097980,0.00,41.0,16.0,0,0,0,0.0
Status,,50,41,5,1,1561097980,0.00,102.0,14.0,0,0,0,0.0
Status,,50,42,5,39,1561097980,0.00,163.0,13.0,0,0,0,0.0
Status,,50,43,5,29,1561097980,0.00,230.0,7.0,0,0,0,0.0
Status,,50,44,5,56,1561097980,0.00,172.0,2.0,0,0,0,0.0
Status,,50,45,5,4,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,46,5,62,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,47,4,195,1575420030,0.00,64.0,38.0,0,0,0,0.0
Status,,50,48,4,194,1575420030,0.00,91.0,27.0,0,0,0,0.0
Status,,50,49,4,196,1575420030,0.00,117.0,4.0,0,0,0,0.0
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
Status,,50,32,5,37,1561097980,0.00,131.0,37.0,0,0,0,0.0
Status,,50,33,5,36,1561097980,0.00,320.0,30.0,0,0,0,0.0
Status,,50,34,5,38,1561097980,0.00,125.0,30.0,0,0,0,0.0
Status,,50,35,5,6,1561097980,0.00,165.0,25.0,0,0,0,0.0
Status,,50,36,5,8,1561097980,0.00,138.0,24.0,0,0,0,0.0
Status,,50,37,5,16,1561097980,0.00,165.0,23.0,0,0,0,0.0
Status,,50,38,5,13,1561097980,0.00,149.0,22.0,0,0,0,0.0
Status,,50,39,5,59,1561097980,0.00,106.0,18.0,0,0,0,0.0
Status,,50,40,5,28,1561097980,0.00,41.0,16.0,0,0,0,0.0
Status,,50,41,5,1,1561097980,0.00,102.0,14.0,0,0,0,0.0
Status,,50,42,5,39,1561097980,0.00,163.0,13.0,0,0,0,0.0
Status,,50,43,5,29,1561097980,0.00,230.0,7.0,0,0,0,0.0
Status,,50,44,5,56,1561097980,0.00,172.0,2.0,0,0,0,0.0
Status,,50,45,5,4,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,46,5,62,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,47,4,195,1575420030,0.00,64.0,38.0,0,0,0,0.0
Status,,50,48,4,194,1575420030,0.00,91.0,27.0,0,0,0,0.0
Status,,50,49,4,196,1575420030,0.00,117.0,4.0,0,0,0,0.0
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
Status,,50,32,5,37,1561097980,0.00,131.0,37.0,0,0,0,0.0
Status,,50,33,5,36,1561097980,0.00,320.0,30.0,0,0,0,0.0
Status,,50,34,5,38,1561097980,0.00,125.0,30.0,0,0,0,0.0
Status,,50,35,5,6,1561097980,0.00,165.0,25.0,0,0,0,0.0
Status,,50,36,5,8,1561097980,0.00,138.0,24.0,0,0,0,0.0
Status,,50,37,5,16,1561097980,0.00,165.0,23.0,0,0,0,0.0
Status,,50,38,5,13,1561097980,0.00,149.0,22.0,0,0,0,0.0
Status,,50,39,5,59,1561097980,0.00,106.0,18.0,0,0,0,0.0
Status,,50,40,5,28,1561097980,0.00,41.0,16.0,0,0,0,0.0
Status,,50,41,5,1,1561097980,0.00,102.0,14.0,0,0,0,0.0
Status,,50,42,5,39,1561097980,0.00,163.0,13.0,0,0,0,0.0
Status,,50,43,5,29,1561097980,0.00,230.0,7.0,0,0,0,0.0
Status,,50,44,5,56,1561097980,0.00,172.0,2.0,0,0,0,0.0
Status,,50,45,5,4,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,46,5,62,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,47,4,195,1575420030,0.00,64.0,38.0,0,0,0,0.0
Status,,50,48,4,194,1575420030,0.00,91.0,27.0,0,0,0,0.0
Status,,50,49,4,196,1575420030,0.00,117.0,4.0,0,0,0,0.0
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
Status,,50,32,5,37,1561097980,0.00,131.0,37.0,0,0,0,0.0
Status,,50,33,5,36,1561097980,0.00,320.0,30.0,0,0,0,0.0
Status,,50,34,5,38,1561097980,0.00,125.0,30.0,0,0,0,0.0
Status,,50,35,5,6,1561097980,0.00,165.0,25.0,0,0,0,0.0
Status,,50,36,5,8,1561097980,0.00,138.0,24.0,0,0,0,0.0
Status,,50,37,5,16,1561097980,0.00,165.0,23.0,0,0,0,0.0
Status,,50,38,5,13,1561097980,0.00,149.0,22.0,0,0,0,0.0
Status,,50,39,5,59,1561097980,0.00,106.0,18.0,0,0,0,0.0
Status,,50,40,5,28,1561097980,0.00,41.0,16.0,0,0,0,0.0
Status,,50,41,5,1,1561097980,0.00,102.0,14.0,0,0,0,0.0
Status,,50,42,5,39,1561097980,0.00,163.0,13.0,0,0,0,0.0
Status,,50,43,5,29,1561097980,0.00,230.0,7.0,0,0,0,0.0
Status,,50,44,5,56,1561097980,0.00,172.0,2.0,0,0,0,0.0
Status,,50,45,5,4,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,46,5,62,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,47,4,195,1575420030,0.00,64.0,38.0,0,0,0,0.0
Status,,50,48,4,194,1575420030,0.00,91.0,27.0,0,0,0,0.0
Status,,50,49,4,196,1575420030,0.00,117.0,4.0,0,0,0,0.0
Fix,NLP,26.5099819000,80.2277744000,,,1100.0,,1719619436832,,,114394524000000,,0,,,
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
Status,,50,32,5,37,1561097980,0.00,131.0,37.0,0,0,0,0.0
Status,,50,33,5,36,1561097980,0.00,320.0,30.0,0,0,0,0.0
Status,,50,34,5,38,1561097980,0.00,125.0,30.0,0,0,0,0.0
Status,,50,35,5,6,1561097980,0.00,165.0,25.0,0,0,0,0.0
Status,,50,36,5,8,1561097980,0.00,138.0,24.0,0,0,0,0.0
Status,,50,37,5,16,1561097980,0.00,165.0,23.0,0,0,0,0.0
Status,,50,38,5,13,1561097980,0.00,149.0,22.0,0,0,0,0.0
Status,,50,39,5,59,1561097980,0.00,106.0,18.0,0,0,0,0.0
Status,,50,40,5,28,1561097980,0.00,41.0,16.0,0,0,0,0.0
Status,,50,41,5,1,1561097980,0.00,102.0,14.0,0,0,0,0.0
Status,,50,42,5,39,1561097980,0.00,163.0,13.0,0,0,0,0.0
Status,,50,43,5,29,1561097980,0.00,230.0,7.0,0,0,0,0.0
Status,,50,44,5,56,1561097980,0.00,172.0,2.0,0,0,0,0.0
Status,,50,45,5,4,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,46,5,62,1561097980,0.00,94.0,1.0,0,0,0,0.0
Status,,50,47,4,195,1575420030,0.00,64.0,38.0,0,0,0,0.0
Status,,50,48,4,194,1575420030,0.00,91.0,27.0,0,0,0,0.0
Status,,50,49,4,196,1575420030,0.00,117.0,4.0,0,0,0,0.0
Status,,50,0,1,19,1575420030,0.00,306.0,62.0,0,0,0,0.0
Status,,50,1,1,22,1575420030,0.00,21.0,59.0,0,0,0,0.0
Status,,50,2,1,17,1575420030,0.00,8.0,56.0,0,0,0,0.0
Status,,50,3,1,14,1575420030,0.00,65.0,54.0,0,0,0,0.0
Status,,50,4,1,6,1575420030,0.00,182.0,52.0,0,0,0,0.0
Status,,50,5,1,30,1575420030,0.00,165.0,39.0,0,0,0,0.0
Status,,50,6,1,13,1575420030,0.00,242.0,20.0,0,0,0,0.0
Status,,50,7,1,11,1575420030,0.00,202.0,15.0,0,0,0,0.0
Status,,50,8,1,24,1575420030,0.00,317.0,14.0,0,0,0,0.0
Status,,50,9,1,3,1575420030,0.00,81.0,10.0,0,0,0,0.0
Status,,50,10,1,7,1575420030,0.00,154.0,9.0,0,0,0,0.0
Status,,50,11,1,2,1575420030,0.00,37.0,6.0,0,0,0,0.0
Status,,50,12,1,15,1575420030,0.00,269.0,4.0,0,0,0,0.0
Status,,50,13,3,19,1602000000,0.00,1.0,77.0,0,0,0,0.0
Status,,50,14,3,16,1602000000,0.00,87.0,61.0,0,0,0,0.0
Status,,50,15,3,9,1602000000,0.00,342.0,43.0,0,0,0,0.0
Status,,50,16,3,18,1602000000,0.00,25.0,32.0,0,0,0,0.0
Status,,50,17,3,20,1602000000,0.00,214.0,32.0,0,0,0,0.0
Status,,50,18,3,15,1602000000,0.00,128.0,15.0,0,0,0,0.0
Status,,50,19,3,10,1602000000,0.00,325.0,4.0,0,0,0,0.0
Status,,50,20,5,46,1561097980,0.00,4.0,82.0,0,0,0,0.0
Status,,50,21,5,10,1561097980,0.00,21.0,61.0,0,0,0,0.0
Status,,50,22,5,27,1561097980,0.00,27.0,61.0,0,0,0,0.0
Status,,50,23,5,30,1561097980,0.00,247.0,60.0,0,0,0,0.0
Status,,50,24,5,60,1561097980,0.00,181.0,58.0,0,0,0,0.0
Status,,50,25,5,2,1561097980,0.00,172.0,56.0,0,0,0,0.0
Status,,50,26,5,7,1561097980,0.00,39.0,54.0,0,0,0,0.0
Status,,50,27,5,5,1561097980,0.00,220.0,49.0,0,0,0,0.0
Status,,50,28,5,61,1561097980,0.00,128.0,44.0,0,0,0,0.0
Status,,50,29,5,3,1561097980,0.00,129.0,43.0,0,0,0,0.0
Status,,50,30,5,9,1561097980,0.00,173.0,41.0,0,0,0,0.0
Status,,50,31,5,40,1561097980,0.00,39.0,40.0,0,0,0,0.0
